file_id,number_of_pages,pdf_location,txt_location,txt_content
104-10069-10260,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10069-10260.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10260.txt,
104-10069-10359,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10069-10359.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10069-10359.txt,
104-10070-10009,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10070-10009.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10070-10009.txt,
104-10070-10079,18,/Users/furkandemir/Desktop/Thesis/pdf_files/11-20/104-10070-10079.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10070-10079.txt,
104-10070-10272,6,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10070-10272.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10070-10272.txt,
104-10070-10296,44,/Users/furkandemir/Desktop/Thesis/pdf_files/41-50/104-10070-10296.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10070-10296.txt,
104-10071-10010,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10010.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10010.txt,
104-10071-10021,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10071-10021.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10021.txt,
104-10071-10041,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10071-10041.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10041.txt,
104-10071-10043,5,/Users/furkandemir/Desktop/Thesis/pdf_files/5/104-10071-10043.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10043.txt,
104-10071-10056,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10056.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10056.txt,
104-10071-10060,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10060.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10060.txt,
104-10071-10102,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10071-10102.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10102.txt,
104-10071-10122,7,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10071-10122.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10122.txt,
104-10071-10139,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10071-10139.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10139.txt,
104-10071-10143,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10071-10143.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10143.txt,
104-10071-10147,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10071-10147.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10147.txt,
104-10071-10148,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10148.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10148.txt,
104-10071-10239,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10239.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10239.txt,
104-10071-10257,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10071-10257.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10257.txt,
104-10071-10324,10,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10071-10324.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10324.txt,
104-10071-10404,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10404.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10404.txt,
104-10071-10405,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10071-10405.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10405.txt,
104-10071-10407,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10071-10407.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10071-10407.txt,
104-10072-10001,6,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10072-10001.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10001.txt,
104-10072-10013,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10072-10013.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10013.txt,
104-10072-10034,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10072-10034.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10034.txt,
104-10072-10046,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10072-10046.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10046.txt,
104-10072-10212,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10072-10212.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10212.txt,
104-10072-10227,10,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10072-10227.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10227.txt,
104-10072-10228,13,/Users/furkandemir/Desktop/Thesis/pdf_files/11-20/104-10072-10228.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10228.txt,
104-10072-10243,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10072-10243.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10243.txt,
104-10072-10289,10,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10072-10289.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10289.txt,
104-10072-10315,7,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10072-10315.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10072-10315.txt,
104-10073-10061,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10073-10061.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10061.txt,
104-10073-10074,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10073-10074.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10074.txt,
104-10073-10101,18,/Users/furkandemir/Desktop/Thesis/pdf_files/11-20/104-10073-10101.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10101.txt,
104-10073-10105,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10073-10105.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10105.txt,
104-10073-10113,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10073-10113.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10113.txt,
104-10073-10133,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10073-10133.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10133.txt,
104-10073-10279,16,/Users/furkandemir/Desktop/Thesis/pdf_files/11-20/104-10073-10279.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10279.txt,
104-10073-10322,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10073-10322.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10322.txt,
104-10073-10350,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10073-10350.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10350.txt,
104-10073-10363,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10073-10363.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10073-10363.txt,
104-10074-10006,10,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10074-10006.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10074-10006.txt,
104-10074-10007,4,/Users/furkandemir/Desktop/Thesis/pdf_files/4/104-10074-10007.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10074-10007.txt,
104-10074-10040,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10074-10040.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10074-10040.txt,
